name,lat,lng,population,level,priceCoeff,region,type,accessibility_index,electricity_coverage,solar_index,zone_type,distance_to_capital,altitude_category,connectivity_score
Antananarivo,-18.91,47.525,2300000,1,1,Antananarivo,capitale,95,90,1050,periurbain,0,plaine,85
Androtsy,-24.1,46.3,809313,2,1.1,Toliara,ville,56,57,1150,rural,590.8,montagne,-210
Betsiboka,-16.95,46.83,394561,2,1.1,Mahajanga,ville,48,43,1050,rural,230,plaine,-30
Antsirabe,-19.8667,47.0333,265018,2,1.1,Antananarivo,ville,45,39,1050,semi-urbain,118.2,plaine,26
Mahajanga,-15.7167,46.3167,246022,1,1.05,Mahajanga,ville,80,75,1050,rural,377.5,plaine,-104
Toamasina,-18.155,49.41,225116,1,1.05,Toamasina,ville,80,75,1050,rural,215.7,plaine,-23
Fianarantsoa,-21.4536,47.0858,191776,1,1.05,Fianarantsoa,ville,80,75,1100,rural,286.5,colline,-58
Toliara,-23.35,43.6667,168756,1,1.05,Toliara,ville,80,75,1150,rural,635.4,montagne,-233
Antsiranana,-12.3,49.2833,129320,1,1.05,Antsiranana,ville,80,75,1050,rural,758.7,plaine,-294
Ambovombe,-25.1764,46.0833,114230,2,1.1,Toliara,ville,42,34,1150,rural,712.4,montagne,-271
Ambohimangakely,-18.9167,47.6,91056,3,1.2,Antananarivo,ville,42,33,1050,periurbain,7.9,plaine,81
Sambava,-14.2667,50.1667,84039,3,1.2,Antsiranana,ville,42,33,1050,rural,588,plaine,-209
Antehiroka,-18.85,47.4833,80360,3,1.2,Antananarivo,ville,42,33,1050,periurbain,8,plaine,81
Imerintsiatosika,-18.9833,47.3167,69953,3,1.2,Antananarivo,ville,41,32,1050,periurbain,23.4,plaine,73
Tôlan̈aro,-25.0325,46.9833,67284,3,1.2,Toliara,ville,41,32,1150,rural,683.1,montagne,-257
Ambanja,-13.6786,48.4522,60321,3,1.2,Antsiranana,ville,41,32,1050,rural,590.1,plaine,-210
Andoharanofotsy,-18.975,47.5333,58878,3,1.2,Antananarivo,ville,41,32,1050,periurbain,7.3,plaine,81
Antsinanantsena,-18.8333,47.55,57363,3,1.2,Antananarivo,ville,41,32,1050,periurbain,8.9,plaine,81
Morondava,-20.2847,44.3175,53510,3,1.2,Toliara,ville,41,32,1080,rural,369.1,colline,-100
Ambohibary,-19.6167,47.15,52000,3,1.2,Antananarivo,ville,41,32,1050,semi-urbain,87.9,plaine,41
Tanjombato,-18.95,47.5167,50373,3,1.2,Antananarivo,ville,41,32,1050,periurbain,4.5,plaine,83
Ampitatafika,-18.9333,47.475,50373,3,1.2,Fianarantsoa,ville,41,32,1050,periurbain,5.9,plaine,82
Fenoarivo Atsinanana,-17.3814,49.4092,41734,3,1.2,Toamasina,ville,41,31,1050,rural,261.8,plaine,-46
Anosiala,-18.7833,47.4167,36863,3,1.2,Antananarivo,ville,41,31,1050,periurbain,18.1,plaine,76
Farafangana,-22.8167,47.8167,34676,3,1.2,Fianarantsoa,ville,41,31,1100,rural,435.5,montagne,-133
Betafo,-19.84,46.855,34336,3,1.2,Antananarivo,ville,41,31,1050,semi-urbain,125,plaine,23
Ambano,-19.8,47.0333,32000,3,1.2,Antananarivo,ville,41,31,1050,semi-urbain,111.6,plaine,29
Manaratsandry,-16.1833,46.5,31056,3,1.2,Mahajanga,ville,41,31,1050,rural,322.1,plaine,-76
Ambatolampy,-19.3861,47.4292,28500,3,1.2,Antananarivo,ville,41,31,1050,semi-urbain,53.9,plaine,58
Arivonimamo,-19.0333,47.1667,28324,3,1.2,Antananarivo,ville,41,31,1050,periurbain,40.1,plaine,65
Ambohijanaka,-18.9833,47.55,27088,3,1.2,Antananarivo,ville,41,31,1050,periurbain,8.6,plaine,81
Tsaravary,-21.25,48.3,27000,3,1.2,Fianarantsoa,ville,41,31,1100,rural,272.5,colline,-51
Ambodiangezoka,-14.6,49.5,26673,3,1.2,Antsiranana,ville,41,31,1050,rural,523.3,plaine,-177
Anosipatrana,-18.9333,47.5,26107,3,1.2,Antananarivo,ville,41,31,1050,periurbain,3.7,plaine,83
Mahitsy,-18.75,47.35,26056,3,1.2,Antananarivo,ville,41,31,1050,periurbain,25.6,plaine,72
Ambatomborona,-19.4,47.1167,26000,3,1.2,Antananarivo,ville,41,31,1050,semi-urbain,69.3,plaine,50
Maevatanana,-16.95,46.8333,25928,3,1.2,Mahajanga,ville,41,31,1050,rural,229.9,plaine,-30
Fenoarivo,-18.9333,47.4333,25675,3,1.2,Antananarivo,ville,41,31,1050,periurbain,10,plaine,80
Soamanandrariny,-19.65,47.2833,24003,3,1.2,Antananarivo,ville,40,31,1050,semi-urbain,86.1,plaine,42
Miantsoarivo,-19.2,47.4,23000,3,1.2,Antananarivo,ville,40,31,1050,periurbain,34.8,plaine,68
Andoany,-13.4,48.2666,22680,3,1.2,Antsiranana,ville,40,31,1050,rural,617.8,plaine,-224
Vohimasina,-21.7333,48.1333,22000,3,1.2,Fianarantsoa,ville,40,31,1100,rural,320.3,colline,-75
Ampasimanjeva,-21.7333,48.0333,22000,3,1.2,Fianarantsoa,ville,40,31,1100,rural,318.4,colline,-74
Alakamisy-Ambohimaha,-21.3167,47.2167,22000,3,1.2,Fianarantsoa,ville,40,31,1100,rural,269.5,colline,-50
Andranovorivato,-21.6333,46.9833,22000,3,1.2,Fianarantsoa,ville,40,31,1100,rural,308,colline,-69
Miorimivalana,-17.2167,49.2,21000,3,1.2,Toamasina,ville,40,31,1050,rural,258.5,plaine,-44
Matanga,-23.5167,47.55,21000,3,1.2,Fianarantsoa,ville,40,31,1150,rural,512.2,montagne,-171
Ankaraobato,-18.9,47.4667,20969,3,1.2,Antananarivo,ville,40,31,1050,periurbain,6.2,plaine,82
Ambohimanga,-18.7667,47.5667,20872,3,1.2,Antananarivo,ville,40,31,1050,periurbain,16.5,plaine,77
Ambondro,-25.25,45.8333,20796,3,1.2,Toliara,ville,40,31,1150,rural,726.2,montagne,-278
Mandrosohasina,-19.5833,47.1667,20000,3,1.2,Antananarivo,ville,40,31,1050,semi-urbain,83.8,plaine,43
Tsararafa,-22.7333,47.8167,20000,3,1.2,Fianarantsoa,ville,40,31,1100,rural,426.2,montagne,-128
Ampefy,-19.0419,46.7328,19949,3,1.2,Antananarivo,ville,40,31,1050,semi-urbain,84.6,plaine,43
Ampanety,-18.975,47.4944,19135,3,1.2,Antananarivo,ville,40,31,1050,periurbain,7.9,plaine,81
Itaosy,-18.9167,47.4667,19041,3,1.2,Antananarivo,ville,40,31,1050,periurbain,6.2,plaine,82
Miarinarivo,-18.9608,46.9,13109,3,1.2,Antananarivo,ville,40,30,1050,semi-urbain,66,plaine,52
