budget;target_energy;irradiation_min;price_coeff;transport_cost;status;minimum_energy;maximum_affordable_energy;recommended_energy;installation_cost;selected_panel;selected_battery;selected_inverter;scenario
12648993;2.4402;4.9875;1.2006;180864;"recommended_target";1.61;11.26;3.22;8224562;"P1";"B1";"I1";"Catalogue standard"
29347401;6.1876;4.8785;1.2719;233926;"recommended_target";1.84;34.9;7.35;13208199;"P1";"B1";"I1";"Catalogue standard"
15421051;2.4297;3.6653;1.0987;136738;"recommended_target";1.79;10.72;2.68;10554109;"P2";"B1";"I1";"Catalogue standard"
29286002;4.8339;5.2369;0.9724;117247;"recommended_target";2.06;18.56;6.19;15044891;"P1";"B1";"I1";"Catalogue standard"
25405862;4.7921;3.5905;1.2358;171566;"recommended_target";1.43;14.27;5.71;17722161;"P1";"B1";"I1";"Catalogue standard"
25734910;1.0298;4.7304;1.3258;20526;"recommended_target";1.74;13.94;1.74;10697652;"P1";"B1";"I1";"Catalogue standard"
6933591;7.9182;5.292;1.1896;127044;"no_solution_budget";2.04;0;"";"";"";"";"";"Catalogue standard"
3774947;7.9474;3.5119;1.2487;217356;"no_solution_budget";1.17;0;"";"";"";"";"";"Catalogue standard"
1704066;6.5938;4.7905;1.3386;44154;"no_solution_budget";1.27;0;"";"";"";"";"";"Catalogue standard"
26011002;0.5623;2.9831;0.9863;226062;"recommended_target";1.24;6.2;1.24;6727277;"P1";"B1";"I1";"Catalogue standard"
28195741;3.4154;3.1918;1.0088;14411;"recommended_target";1.27;17.8;3.81;8919112;"P1";"B1";"I1";"Catalogue standard"
9909606;4.697;5.1927;1.2663;121688;"no_solution_budget";2.11;0;"";"";"";"";"";"Catalogue standard"
2959612;7.2924;3.9487;1.2279;146745;"no_solution_budget";1.38;0;"";"";"";"";"";"Catalogue standard"
28997237;2.1093;2.6848;0.8895;176848;"recommended_target";0.75;10.43;2.24;14268204;"P1";"B1";"I1";"Catalogue standard"
4784078;4.1411;2.4234;0.8954;20406;"no_solution_budget";0.8;0;"";"";"";"";"";"Catalogue standard"
19086471;7.2859;4.4911;0.8916;126549;"recommended_target";1.63;16.3;7.34;14523085;"P2";"B2";"I1";"Catalogue standard"
7854364;7.8801;3.8647;1.2791;19926;"no_solution_budget";1.07;0;"";"";"";"";"";"Catalogue standard"
